skill_overlap,required_skill_coverage,keyword_overlap,experience_similarity,education_match,project_relevance,match_score
0.85,0.90,0.82,0.95,1.0,0.88,92
0.72,0.75,0.68,0.80,1.0,0.75,78
0.65,0.70,0.60,0.75,1.0,0.70,72
0.90,0.85,0.88,0.90,1.0,0.85,89
0.55,0.60,0.50,0.65,0.8,0.60,61
0.80,0.80,0.75,0.85,1.0,0.80,82
0.45,0.50,0.40,0.55,0.8,0.50,52
0.95,0.90,0.92,0.95,1.0,0.90,94
0.60,0.65,0.58,0.70,1.0,0.65,67
0.75,0.70,0.72,0.80,1.0,0.75,76
0.88,0.85,0.85,0.90,1.0,0.88,87
0.52,0.55,0.48,0.60,0.8,0.55,56
0.78,0.80,0.75,0.82,1.0,0.78,80
0.42,0.45,0.38,0.50,0.6,0.45,47
0.92,0.88,0.90,0.92,1.0,0.90,91
0.68,0.70,0.65,0.75,1.0,0.70,73
0.58,0.60,0.55,0.65,0.8,0.60,62
0.82,0.85,0.80,0.85,1.0,0.82,84
0.48,0.50,0.45,0.55,0.8,0.50,53
0.76,0.75,0.72,0.80,1.0,0.76,77
0.89,0.90,0.88,0.92,1.0,0.89,90
0.62,0.65,0.58,0.68,1.0,0.62,65
0.71,0.70,0.68,0.75,1.0,0.71,74
0.54,0.55,0.50,0.60,0.8,0.54,57
0.84,0.82,0.82,0.88,1.0,0.84,85
0.46,0.48,0.42,0.52,0.6,0.46,49
0.79,0.80,0.76,0.82,1.0,0.79,81
0.93,0.95,0.92,0.95,1.0,0.93,95
0.67,0.68,0.64,0.72,1.0,0.67,69
0.59,0.62,0.56,0.65,0.8,0.59,63
0.81,0.78,0.78,0.85,1.0,0.81,83
0.44,0.46,0.40,0.50,0.6,0.44,46
0.87,0.85,0.84,0.89,1.0,0.87,88
0.63,0.65,0.60,0.70,1.0,0.63,66
0.74,0.72,0.70,0.78,1.0,0.74,75
0.51,0.52,0.48,0.58,0.8,0.51,54
0.86,0.88,0.83,0.88,1.0,0.86,86
0.49,0.50,0.46,0.55,0.8,0.49,51
0.77,0.75,0.74,0.81,1.0,0.77,78
0.91,0.92,0.89,0.93,1.0,0.91,92
0.64,0.66,0.61,0.71,1.0,0.64,68
0.56,0.58,0.53,0.62,0.8,0.56,59
0.83,0.80,0.80,0.86,1.0,0.83,84
0.47,0.49,0.43,0.53,0.6,0.47,48
0.73,0.74,0.69,0.77,1.0,0.73,76
0.88,0.90,0.86,0.90,1.0,0.88,89
0.61,0.63,0.57,0.67,1.0,0.61,64
0.70,0.71,0.67,0.76,1.0,0.70,73
0.53,0.54,0.49,0.59,0.8,0.53,55
0.85,0.83,0.81,0.87,1.0,0.85,86
0.43,0.44,0.39,0.49,0.6,0.43,45
0.80,0.82,0.77,0.83,1.0,0.80,82
0.94,0.96,0.93,0.96,1.0,0.94,96
0.66,0.67,0.63,0.73,1.0,0.66,70
0.57,0.59,0.54,0.63,0.8,0.57,60
0.84,0.81,0.79,0.86,1.0,0.84,85
0.45,0.47,0.41,0.51,0.6,0.45,48
0.78,0.77,0.75,0.82,1.0,0.78,79
0.90,0.89,0.87,0.91,1.0,0.90,91
0.65,0.67,0.62,0.72,1.0,0.65,68
0.50,0.51,0.47,0.57,0.8,0.50,53
0.87,0.86,0.84,0.89,1.0,0.87,88
0.41,0.43,0.37,0.47,0.6,0.41,44
0.75,0.76,0.71,0.79,1.0,0.75,77
0.92,0.94,0.90,0.94,1.0,0.92,93
0.69,0.70,0.66,0.75,1.0,0.69,72
0.58,0.60,0.55,0.64,0.8,0.58,61
0.82,0.84,0.78,0.85,1.0,0.82,83
0.48,0.49,0.44,0.54,0.8,0.48,51
0.76,0.78,0.73,0.80,1.0,0.76,78
0.89,0.91,0.88,0.92,1.0,0.89,90
0.63,0.64,0.59,0.69,1.0,0.63,67
0.55,0.57,0.52,0.61,0.8,0.55,58
0.85,0.87,0.82,0.88,1.0,0.85,87
0.46,0.48,0.42,0.52,0.6,0.46,49
0.79,0.81,0.76,0.83,1.0,0.79,81
0.93,0.95,0.91,0.95,1.0,0.93,94
0.67,0.69,0.64,0.74,1.0,0.67,71
0.52,0.53,0.48,0.58,0.8,0.52,55
0.81,0.83,0.79,0.84,1.0,0.81,83
0.44,0.45,0.40,0.50,0.6,0.44,47
0.74,0.75,0.70,0.78,1.0,0.74,76
0.88,0.90,0.85,0.90,1.0,0.88,89
0.62,0.64,0.58,0.68,1.0,0.62,65
0.56,0.58,0.53,0.62,0.8,0.56,59
0.86,0.88,0.83,0.89,1.0,0.86,88
0.49,0.51,0.45,0.55,0.8,0.49,52
0.77,0.79,0.74,0.81,1.0,0.77,79
0.91,0.93,0.89,0.93,1.0,0.91,92
0.64,0.66,0.61,0.71,1.0,0.64,68
0.54,0.56,0.51,0.60,0.8,0.54,57
0.83,0.85,0.80,0.86,1.0,0.83,85
0.47,0.49,0.43,0.53,0.6,0.47,50
0.72,0.73,0.68,0.77,1.0,0.72,75
0.87,0.89,0.84,0.88,1.0,0.87,88
0.60,0.62,0.57,0.66,1.0,0.60,64
0.51,0.53,0.48,0.57,0.8,0.51,54
0.84,0.86,0.81,0.87,1.0,0.84,86
0.45,0.47,0.41,0.51,0.6,0.45,48
0.78,0.80,0.75,0.82,1.0,0.78,80
0.90,0.92,0.88,0.91,1.0,0.90,91
0.66,0.68,0.63,0.73,1.0,0.66,70
0.59,0.61,0.56,0.65,0.8,0.59,63
0.82,0.84,0.79,0.85,1.0,0.82,84
0.48,0.50,0.44,0.54,0.8,0.48,51
